question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," television
Context: A behind view of a batter at the plate ready to hit at a baseball game.
 Question: What is a famous tournament featuring this sport?
 Candidates: world series (0.8264679234735205),baseball (0.4372975060135148),wimbledon (0.04480619147508026)
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," martini
Context: A woman is taking a picture of a tennis player.
 Question: What is the place that this is played called?
 Candidates: tennis court (0.9916955938744758),tennis (0.8113422569093256),court (0.6460688740654186)
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," siamese
Context: Birds standing next to a swimming pool filled with blue water.
 Question: What are the birds drinking from?
 Candidates: pool (0.988534943491733),duck (0.01882221150313056),fountain (0.008816349444602837)
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," walk
Context: A brown and white bulldog observes a calm setting of sailboats on the water.
 Question: What type of dog is this?
 Candidates: bulldog (0.9641119055721157),boxer (0.01786989910719684),pug (0.009244871691065701)
 ",arm,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," kingston transit
Context: A plate with some small pieces of pizza on it.
 Question: Which ingredient does this dish have in common with many spaghetti dishes?
 Candidates: tomato (0.957698209486462),cheese (0.9296859422526843),pizza (0.017362342058989077)
 ",money,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," poodle
Context: A herd of elephants standing next to each other.
 Question: How much do all of these animals drink in a day?
 Candidates: lot (0.6022036548833307),gallon (0.06909562838745463),full (0.02169737847607372)
 ",people,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," rocky
Context: The man is walking his dog on a leash while talking on his cellphone. 
 Question: What park is this?
 Candidates: frisbee (0.01817311972713284),new york (0.01752815507915797),central park (0.01670457031026649)
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," leather
Context: Two rows of boats are docked in the water.
 Question: What type of boats are these?
 Candidates: fish boat (0.811934565598201),fish (0.658069212103747),sail (0.05889653906630806)
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," screen
Context: People on a boat look out towards the ocean.
 Question: What is this boat doing?
 Candidates: float (0.8449359137678675),boat (0.3014522571572217),cruise (0.08489474503799731)
 ",flower,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," park
Context: a table full of electronic items sitting neatly side by side
 Question: What kind of container might someone carry these things in?
 Candidates: backpack (0.9851168649939402),case (0.8492656001671686),briefcase (0.6977358708603814)
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," cross country
Context: A white plate topped with eggs, sausage and a cut in half tomato.
 Question: What items can be replaced on this dish to make it more healthy?
 Candidates: bacon (0.9538375322149212),potato (0.3997413585132322),meat (0.328050080636062)
 ",lake,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," herbivorous
Context: A white toilet sitting next to a bath tub.
 Question: What should be done after excreting in this room?
 Candidates: flush (0.5344013087364495),wash hand (0.21204928404983117),clean (0.059129806077980136)
 ",woman,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," 400
Context: A cat sitting on a laptop on top of a desk.
 Question: Why is this cat laying on a laptop?
 Candidates: warmth (0.8681044434045054),rest (0.39284749401746955),tired (0.1924048384573906)
 ",pickle,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," industrial
Context: Fire hydrant spraying water in front of a sandwich shop.
 Question: What is the fire hydrate doing?
 Candidates: run (0.960942545226255),drain (0.6962199429036025),jump (0.02485633358617202)
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," elm
Context: a bear with its kids at the edge of the waters
 Question: What is the name of the baby animals shown here?
 Candidates: cub (0.48455652242193625),calf (0.08436028317212449),ewe (0.05729696130664304)
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," no turn
Context: A man is swinging at the ball during a baseball game.

 Question: What are the different positions of the team that is fielding called?
 Candidates: outfield (0.920101945939071),baseball (0.43558879539838774),batter (0.1975826166354508)
 ",passenger,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," air show
Context: A couple of bear cubs, peeking out from a den.
 Question: In which state is there a mountain named for these animals?
 Candidates: alaska (0.6075960243075048),california (0.4823913708090742),new york (0.474998555261582)
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," oar
Context: The businessman seated on a motorcycle is surrounded by cars and buses.
 Question: What is this man destination?
 Candidates: work (0.9945584260379773),office (0.834836950643547),business (0.08072911658248239)
 ",2000,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," logitech
Context: a street sign outside near a flag pole
 Question: What country is this?
 Candidates: united state (0.6098702783180043),usa (0.4542043423903464),america (0.4378310765631105)
 ",flip,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," saltwater
Context: A computer desk that has nothing but a computer on it.
 Question: What is this used for?
 Candidates: computer (0.7414155868959462),compute (0.6027005287613842),work (0.5495919426132793)
 ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," forest
Context: A full view of a flower vase with drinks and cups. 
 Question: What type of flowers are those?
 Candidates: daisy (0.9813465742845208),dandelion (0.021171921886692237),daffodil (0.017849540934786735)
 ",business,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," san francisco
Context: A hot with a lot of different comdents. 
 Question: What kind of cheese is that?
 Candidates: cheddar (0.9403873354390148),american (0.03253404638366693),yellow (0.02312653986236687)
 ",circle,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," mice
Context: A white and brown dog is covered in a blanket.
 Question: What breed of dog is this?
 Candidates: terrier (0.9102783277367563),collie (0.43959555550240365),corgi (0.07833007736739639)
 ",diesel,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," dock
Context: A group of people are paddling a boxy boat through water
 Question: Is this a competition or friendly?
 Candidates: friendly (0.6073037482460645),competition (0.30999357844976255),sport (0.050772806460919265)
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
3190735,319073,What is the person in the photo wearing?," lemon
Context: a group of boys are kicking a soccer ball
 Question: What type of ball is used in the game that bears the same name as this one?
 Candidates: soccer ball (0.9429263445967171),football (0.7655112152826398),soccer (0.5029108344482426)
 ",wetsuit,wetsuit|wetsuit|wetsuit|wetsuit|suit|suit|wet suit|wet suit|trunk|trunk
5144685,514468,What is the name of the board he is on?," citrus juice
Context: A plate with a sandwhich and french fries on it. 
 Question: What popular side made with potatoes is often ordered instead of this one?
 Candidates: fry (0.9471557956724842),french fry (0.6028318139754715),fried (0.04447707694281641)
 ",surf board,surf board|surf board|surf board|surf board|surfboard|surfboard|surfboard|surfboard|surf|surf
4371265,437126,Name the material used to make this car seat shown in this picture?," pig
Context: A wash basin and a toilet in a tiled bathroom.
 Question: How expensive was this marble sink?
 Candidates: very (0.3417588816881006),extremely (0.006434739099965235),50 (0.004199642693999958)
 ",cloth,cloth|cloth|cloth|cloth|nylon|nylon|polyester|polyester|leather|leather
5182875,518287,What part of the face is the toothbrush in?," surf
Context: Group of people sitting down outside an outdoor market. 
 Question: What are they using for shade here?
 Candidates: umbrella (0.9948039441249177),sunscreen (0.004455842368760802),rain (0.001802765641871703)
 ",mouth,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|happy|happy
3804595,380459,What flavor is this pastry?," horseback rider
Context: A cat lying down in a bathroom sink.
 Question: How does this animal clean itself?
 Candidates: water (0.026117786675094855),dish (0.019799326753705878),bleach (0.019266681937286947)
 ",vanilla,blueberry|blueberry|blueberry|blueberry|cream cheese|cream cheese|chocolate|chocolate|strawberry|strawberry
5002005,500200,What kind of container are the flowers in?," he land
Context: a surfer getting pondering life as he gets ready to shred the gnar
 Question: What is the average life expectancy for the gender of human pictured here?
 Candidates: 80 (0.9239168443912226),70 (0.6352829189564483),20 (0.08772203540774051)
 ",vase,vase|vase|vase|vase|vase|vase|trolley|trolley|pot|pot
3156685,315668,What country does this appear to be?," second
Context: A bed is covered by blue sheets and a pile of clothes.
 Question: What type of chore is being done?
 Candidates: laundry (0.990451249472327),dry (0.02024966655278343),cloth (0.017330862238366485)
 ",england,scotland|scotland|scotland|scotland|scotland|scotland|usa|usa|england|england
3736625,373662,Which of the foods in the picture is best for you to eat when you have a cold?," candid
Context: A black and white shot of two people on their motorcycle. 
 Question: Is which type of road are the people riding?
 Candidates: highway (0.9663225338408391),interstate (0.6833654744761856),road (0.0502281124105478)
 ",sandwich,soup|soup|soup|soup|soup|soup|chicken soup|chicken soup|fruit|fruit
4293695,429369,What do teenage pranksters do to this animal?," feet
Context: A red stop sign in front of a red traffic signal.
 Question: How do we know this sign is meant for more than just the people approaching it?
 Candidates: all way (0.9961391313006506),below (0.7495687250651119),4 (0.012820556441306785)
 ",forget,tip|tip|tip|tip|tip|tip|tip|tip|tip|tip
4273415,427341,How many watts is that microwave?," monkey
Context: A show of a trash next to a grassland. 
 Question: What is overflowing in this picture?
 Candidates: trash (0.949013723382476),trash can (0.8901517251683041),garbage (0.13213063950917897)
 ",60,800|800|800|800|120|120|1000|1000|100|100
3938365,393836,What is this type of blanket called?," arrive
Context: a boy is standing in skies in the snow
 Question: Is this downhill or cross country skiing or is it telemark skiing?
 Candidates: cross country (0.9998113236541645),downhill (0.9299536172395383),regular (0.02922268277077861)
 ",quilt,quilt|quilt|quilt|quilt|quilt|quilt|quilt|quilt|patchwork|patchwork
179845,17984,What south american country usually has this climate?," mouse
Context: A twin engine plane goes down the runway.
 Question: Is this plane landing or taking off?
 Candidates: take off (0.9451584401899572),land (0.589135439341351),off (0.16630639947694328)
 ",america,brazil|brazil|brazil|brazil|brazil|brazil|africa|africa|ecuador|ecuador
3268375,326837,What american restaurant features an open kitchen with visible cooking area such as this?," winter
Context: Two big trucks are parked next to each other.
 Question: What is the primary function of the trucks in this photo?
 Candidates: haul (0.8056120466482788),transportation (0.35133248559103364),dump (0.16120970719137753)
 ",hotdog,diner|diner|diner|diner|diner|diner|denny's|denny's|waffle house|waffle house
2780325,278032,What other big vehicle is often painted about the same shade as this vehicle?," electric
Context: A long haired cat sitting on a red chair.
 Question: Which form is the wood?
 Candidates: log (0.968203958923139),arm (0.5896006926872882),board (0.34092193869287385)
 ",bus,firetruck|firetruck|firetruck|firetruck|firetruck|firetruck|firetruck|firetruck|fire truck|fire truck
1110325,111032,What brand is this wine?," asia and africa
Context: A white plate topped with a small pizza on a table.
 Question: What kind of meat is used on these tacos?
 Candidates: pork (0.9573954445115864),beef (0.8499230106563753),steak (0.07033408764911965)
 ",french,becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker|becker
5096415,509641,What would happen if these items fall to the ground?," brush
Context: A buffalo hitched to a two wheeled wagon.
 Question: What century is this?
 Candidates: 19th (0.7967301026728323),20th (0.6139505754318857),18th (0.44156793688001394)
 ",crash,shatter|shatter|shatter|shatter|they would shatter|they would shatter|break|break|they would break|they would break
3413095,341309,What brand of suit is the man in the image wearing?," triumph
Context: Man looks up while laying on a bed.
 Question: Why is this person laying like that?
 Candidates: relax (0.820609210211617),rest (0.6945361816707503),sick (0.10312769569016)
 ",columbia,brook brother|brook brother|brook brother|brook brother|gorgio armani|gorgio armani|name brand|name brand|gucchi|gucchi
1121605,112160,Where might i buy a print that resembles this photo?," wet suit
Context: A plate of food with meat, cheese, and potatoes
 Question: Which of these items depicted grows underground?
 Candidates: potato (0.9777951064268666),carrot (0.006264052458708808),bread (0.004448764020102268)
 ",target,gallery|gallery|gallery|gallery|store|store|target|target|walmart|walmart
2645405,264540,What are the rolled black food items called?," drawer
Context: A red city bus sits at a bus stop.
 Question: Who is the famous woman that this mode of transportation reminds you of?
 Candidates: benjamin franklin (0.03678684815559347),rosa park (0.027374470067288235),ben franklin (0.027286479616928684)
 ",sushi,sushi|sushi|sushi|sushi|sushi|sushi|sushi|sushi|sushi|sushi
1089825,108982,What type of bird is this?," ski
Context: The two chickens are pecking for possible food sources.
 Question: What was the name of the chicken in moana?
 Candidates: chicken (0.03349097624318441),rooster (0.0089535881792199),black (0.004034314830156323)
 ",blue jay,blue jay|blue jay|blue jay|blue jay|bluebird|bluebird|songbird|songbird|goldfinch|goldfinch
2929715,292971,How can you tell that the people are not upset?," net
Context: A blue plate with a meal of noodles, chicken, and broccoli
 Question: What type of asian cuisine is this?
 Candidates: lo mein (0.6614537925635745),ramen (0.6063986614314938),stir fry (0.09229943645029046)
 ",sit,they are smile|they are smile|they are smile|they are smile|smile|smile|smile|smile|smile|smile
1902045,190204,How fast is the vehicle pictured capable of reaching?," park
Context: A bathroom with blue tile flooring and white porcelain.  
 Question: Is the toilet seat up or down?
 Candidates: down (0.9991789514285159),downhill (0.0022597139272700108),low (0.0011203677169362302)
 ",120 mph,80 mph|80 mph|80 mph|80 mph|100 mph|100 mph|100 mph|100 mph|10mph|10mph
3774865,377486,Name the type of hat the man is wearing?," million
Context: Commuter train traveling near rocky beach in rural area.
 Question: The trees in the background indicate this is what kind of terrain?
 Candidates: mountain (0.9242138260519792),country (0.7944287285643336),rocky (0.30901276577962467)
 ",cowboy,cowboy|cowboy|cowboy|cowboy|sombrero|sombrero|sombrero|sombrero|stetson|stetson
1282805,128280,What sates are these grown in?," grain
Context: A man crossing the street on a bicycle.
 Question: To make this vehicle go its rider must do what?
 Candidates: pedal (0.11758074183241271),look both way (0.019481425627026195),landed (0.01742027038988054)
 ",florida,florida california|florida california|florida california|florida california|california|california|california|california|florida|florida
1318415,131841,How does the bread taste?," surf
Context: A baseball player with a helmet and gloves on holding a bat.
 Question: What is the batter's dominant hand?
 Candidates: left (0.9704184223826187),right (0.40111626151159174),baseball (0.021072006009322523)
 ",sweet,good|good|good|good|like bread|like bread|sweet|sweet|delicious|delicious
