question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," soccer
Context: Two pieces of luggage sitting on the ground propped up against a pole.
 Question: What do you use these for?
 Candidates: travel (0.9937464640767368),sleep (0.21253269787738022),vacation (0.09273037411005447),cloth (0.08752283616121517),luggage (0.05908540039723798)
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," bush
Context: A bird is perched on a branch of a tree.
 Question: What type of plant is this?
 Candidates: tree (0.9895417167416598),bush (0.02988344433246745),aloe (0.004889076725224197),leaf (0.0028922956978390097),succulent (0.0017825314334529592)
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," teddy bear
Context: A brown teddy bear in a white wire rack.
 Question: What toy is this?
 Candidates: teddy bear (0.9791566137849969),stuffed animal (0.723978046445882),bear (0.06588571559842257),teddy (0.005907435829278867),stuffed (0.0038684298899656962)
 ",teddy bear,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," brush hair
Context: people riding on the backs of elephants with a sky background
 Question: What is the silver item with many steps used for in this situation?
 Candidates: ladder (0.9927122472383363),stair (0.5016011391983994),step (0.02454191020784906),walkway (0.021290153508701202),chair lift (0.005051449841660704)
 ",arm,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," travel
Context: A baseball player getting ready to swing his bat.
 Question: What was the man trying to do with the stick?
 Candidates: hit ball (0.9551608074782794),hit (0.750244720083588),swing (0.10404962812600743),homerun (0.008509033811738197),bat (0.006760318380393972)
 ",money,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," wash hand
Context: A woman sitting in a park and talking on her cellphone. 
 Question: Who bottles this water?
 Candidates: nestle (0.08610478721459512),samuel fox (0.044441626602351),plumber (0.04239124490377981),walmart (0.042332323154245094),schwinn (0.03640341019156307)
 ",people,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," smoothie
Context: A line of bikers make their way through the narrow street between buildings, and past pedestrians.
 Question: This sort of narrow space is called a what?
 Candidates: alley (0.5117705171506937),street (0.09342754159811675),walkway (0.017465635174983927),hall (0.006204975487670234),road (0.004877909857937626)
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," fun
Context: A man and a woman are smiling next to a giraffe.
 Question: What country could these people be in?
 Candidates: africa (0.9666138686236871),kenya (0.7104312095442361),south africa (0.0424148277970317),zimbabwe (0.03787978190072082),south america (0.02414864187972017)
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," north pole
Context: A green parrot with blue and red on it's wings looking into the camera.
 Question: Where does this animal come from?
 Candidates: africa (0.6283012049336538),tropic (0.610461576203952),south america (0.45605362499394614),rainforest (0.37046116396477585),pet store (0.10031804002392578)
 ",flower,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," hit ball
Context: a man that is standing up with a book
 Question: What book is that man holding?
 Candidates: bible (0.9527226092996279),notebook (0.01741823818614023),cook (0.015251607766845005),sky (0.006483393338139156),computer (0.005680663244386314)
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," lake
Context: Two young men play football on a beach. 
 Question: Is the beach sandy or rocky?
 Candidates: sandy (0.21380896662513954),sand (0.06556584011165281),beach (0.016804474028144466),limestone (0.01626545485206178),grassy (0.01436849911246331)
 ",lake,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," shoemaker
Context: a silver laptop a bed some blankets and a wooden floor
 Question: Who invented the device pictured?
 Candidates: steve job (0.819721691524684),bill gate (0.5949253741408607),laptop (0.4601024618435023),people (0.1799752743126656),man (0.03940494256202409)
 ",woman,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," fried chicken
Context: A white paper plate topped with two hot dogs.
 Question: What common topping is on the hotdogs?
 Candidates: ketchup (0.9649178288659956),onion (0.8708251897196769),chili (0.015036314431649529),cheese (0.01328509648666132),onions (0.005664692414220089)
 ",pickle,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," heat
Context: A cat batting at the water in a toilet.
 Question: What is this fixture used for?
 Candidates: poop (0.07945606972714525),flush (0.037467558488134135),pee (0.02680923793199449),toilet (0.020387953513455688),water (0.016954724322957755)
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," german shepherd
Context: a model of a scooter on a wooden table
 Question: What flag is on the bike?
 Candidates: british (0.9069409470988496),britain (0.6848504760814433),great britain (0.14188746886399664),england (0.09275825919011706),uk (0.030264374509598665)
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," boeing
Context: An airplane is flying, and shown above the clouds at sunrise.
 Question: What type of plane is this?
 Candidates: private (0.3161122704990576),prop (0.3093402258745267),glider (0.25731151593212404),seaplane (0.1763283918217158),airplane (0.13586973102376407)
 ",commercial,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," boy
Context: A teddy bear posed sitting in a toy castle.
 Question: Is this a girl's room or a boy's room?
 Candidates: boy (0.9855833334683184),girl (0.9018980652417169),both (0.05855447846890026), (0.004778112520648908),unknown (0.004125839091051036)
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
