question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," motorcross
Context: A man riding on the back of a motorcycle.
 Question: Can you name a sport this person could be a part of?
 ",motorcross,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," fern
Context: An unmade bed with blue and white sheets in daylight
 Question: What kind of plant is next to the sheets?
 ",fern,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," stuffed animal
Context: A brown teddy bear in a white wire rack.
 Question: What toy is this?
 ",": stuffed animal
Context: A brown teddy bear in a white wire rack",stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," torso
Context: A dog and a man with a camera reflected in a sideview mirror.
 Question: To assess the health of the creature on the right you touch which of its body parts?
 ",leg,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," cloth
Context: a large briefcase statue in the middle of a mall
 Question: What can this hold?
 ",cloth,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," owner
Context: A white sink mounted to a green wall in a bathroom.
 Question: What does this bathroom say about its owner?
 ",man,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," countertop
Context: a little girl watching a woman make cupcakes in the kitchen
 Question: Is the man working on a kitchen island or a peninsula?
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," shop
Context: The businessman seated on a motorcycle is surrounded by cars and buses.
 Question: What is this man destination?
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," flower
Context: Pink flowers sitting in a vase in front of wood paneling
 Question: What is the primary habitat of this flower?
 ",seed,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," hit ball
Context: A baseball player holding a bat while standing next to home plate.
 Question: What was the man with stick trying to do?
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," lake
Context: A man is prepared to get on a wake board
 Question: Is this a lake or ocean?
 ",salt water,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," woman
Context: A woman flying a red kite on a brown field.
 Question: Who likely flew a similar device in lightning storms?
 ",artist,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," pepper
Context: A hot dog inside of a bun next to a container of fries.
 Question: What are some popular toppings for hot dogs?
 ",relish,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," work
Context: A computer chair sitting in front of an office desk.
 Question: What is this room for?
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," dirt bike
Context: A person in gear riding a dirt bike in the mud
 Question: What model of bike is in the picture?
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," 747
Context: A Malaysian commercial plane parked in an airport. 
 Question: What type of plane is this?
 ",passenger,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," girl
Context: A teddy bear posed sitting in a toy castle.
 Question: Is this a girl's room or a boy's room?
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," 1979
Context: A man riding an orange mini bike on top of a grass field.
 Question: What year was this model of motorcycle introduced?
 ",1939,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," ride wave
Context: A surfer loses control midair while hitting a wave. 
 Question: What move in surfing is this man performing?
 ",ride wave,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," home run
Context: A group of people on a field playing baseball.
 Question: If this player proceeds to hit a ball close to the ground for a short distance that is called a what?
 ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," computer
Context: Various computer products sitting out with instruction manuals around them. 
 Question: What can i use these for?
 ",battery,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," circle
Context: A crowd of people standing on a lush green park playing a game of frisbee.
 Question: What shape is the object being thrown?
 ",round,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," v8
Context: A city bus that's pulled into the bus terminal and is being unloaded. 
 Question: What motor powers this bus?
 ",400,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," cross country
Context: Two skiers ski across a snow covered field.

 Question: What type of skiing is shown?
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
3190735,319073,What is the person in the photo wearing?," wetsuit
Context: A man in a wetsuit rides a surfboard over a wave.
 Question: What is being worn here?
 ",wetsuit,wetsuit|wetsuit|wetsuit|wetsuit|suit|suit|wet suit|wet suit|trunk|trunk
5144685,514468,What is the name of the board he is on?," surf
Context: A young woman is riding a surfboard in the ocean.
 Question: What is the board called that the lady is on?
 ",surf,surf board|surf board|surf board|surf board|surfboard|surfboard|surfboard|surfboard|surf|surf
4371265,437126,Name the material used to make this car seat shown in this picture?," canvas
Context: a person holding a big pair of scissors next to some fabric 
 Question: Is the material tweed or canvas?
 ",leather,cloth|cloth|cloth|cloth|nylon|nylon|polyester|polyester|leather|leather
5182875,518287,What part of the face is the toothbrush in?," chin
Context: A hand putting toothpaste on a toothbrush on a counter.
 Question: What part of the body is this used on?
 ",mouth,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|happy|happy
