question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," center
Context: Three women laying down in two beds in a hotel room setting, with two women on one bed and one on another bed.
 Question: What is the going rate of an average room like this?
 Candidates: 50 (0.39470609772392434),80 (0.37917109680127503),100 (0.16919705138425328)
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," washington
Context: A man riding a skateboard down a street.
 Question: Is it warm or cold?
 Candidates: warm (0.9860128174131984),hot (0.5754747132754712),cool (0.03520185569698206)
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," island
Context: Two monitors that are on, on a desk in the dark 
 Question: What is the lighting like in this room?
 Candidates: dark (0.9819548704089797),dim (0.017334257049683017),lamp (0.01614504663111003)
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," lift
Context: A group of people sitting around a dog on a porch.
 Question: What is keeping the dog from running away?
 Candidates: leash (0.995892753362181),collar (0.005857655541780158),rain (0.0025804917582171127)
 ",arm,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," utensil
Context: A group of chef preparing food for a waitress.
 Question: What profession do these men have?
 Candidates: chef (0.9885645912798364),cook (0.8951276332913507),doctor (0.005741488456136448)
 ",money,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," flame
Context: A fresh corn and tomato pizza and a pizza cutter
 Question: What is the red topping?
 Candidates: tomato (0.9989958970124933),pepper (0.0128036876728629),red pepper (0.0024351104853504407)
 ",people,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," john kemp starley
Context: A man doing a trick on a skateboard around a group of people.
 Question: What kind of trick is this skater performing?
 Candidates: ollie (0.8579829119115312),jump (0.7568041134497904),kickflip (0.7517477042478405)
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," soldier
Context: Two green and white street signs with building in background.
 Question: What is that tall structure known as?
 Candidates: skyscraper (0.9931412423367455),build (0.03907180145624857),building (0.01570375294172981)
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," chin
Context: The batter prepares to drop the bat after hitting the ball in a baseball game.
 Question: Did the batter hit a home run or foul ball?
 Candidates: run (0.7301285659554446),home run (0.6156889219673081),hit (0.2724304567662907)
 ",flower,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," serve
Context: A CITY COMMUTER BUS IS PARKED ON THE CURB 
 Question: What is the blue item called?
 Candidates: bus stop (0.9959464032819569),bus (0.003928952683167465),station (0.0027348981365896965)
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
