question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," goggle
Context: Three people posing for a picture while standing on the ski slope. 
 Question: What's the summertime version of this sport?
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," nativity
Context: The exterior of a building is shown in the day time.
 Question: What does the sign on the top imply?
 ",spider plant,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," hitter
Context: The decrepit bathroom features a brand new toilet.
 Question: Describe what this structure appears to be?
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," ww2
Context: The grilled cheese sandwich has a tomato topping.
 Question: What material is the object made of that the toast is laying on?
 ",tail,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," bmw
Context: A dog lays alone in a dirt patch.
 Question: What breed of dog is in the picture?
 ",lunch,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," citrus juice
Context: Lamb chops, broccoli and potatoes on a plate
 Question: What kind of food is this?
 ",someone,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," african american
Context: A person is holding a donut in front of a woman 's face.
 Question: What type of food is this?
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," snow
Context: Some guys sitting on a couch with a cute dog.
 Question: Is the canine domestic or wild?
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," star
Context: A man and boy laying in two separate small beds.
 Question: What was used to make those furnitures?
 ",root,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," freeze
Context: a bathroom with two sinks and the window giving off some light
 Question: Are the screens in this picture showing images or blank screens?
 ",swing,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
