question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," bus
Context: A hot dog sitting on top of a bun covered in toppings.
 Question: What type of food is this?
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," what they paid
Context: A giraffe eating grass from a stoney ground near a mountain.
 Question: What food does the animal eat?
 ",spider plant,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," bike
Context: A black cat sitting in the crook of a tree.
 Question: What type of luck is this animal associated with?
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," iphone
Context: Two animals lay side by side in a feild
 Question: What animal is the animal in this photo related to?
 ",paw,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," dawn
Context: A man with goggles in a large indoor swimming pool.
 Question: Is this pool inside or outside?
 ",school supplies,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," melanin
Context: A red and blue plane on the tarmac.
 Question: What is the company name on the airplane tail?
 ",someone who doesn't clean,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," 3 days
Context: A hotdog is loaded with chili, mustard and onion.
 Question: Name the ingredients used to make this dish in this picture?
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," pig
Context: A busy city street at night filled with people.
 Question: How is the umbrella in the photo unusual?
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," finch
Context: An open toilet seat sits next to a bedet in a bathroom.
 Question: What type of seat is in this picture?
 ",stem,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," collie
Context: Uniformed guards rest on horseback with flags in front of a building.
 Question: What food do these animals eat?
 ",swing,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," candle
Context: the man is sitting in the room that's filled with furniture 
 Question: What type of furniture is this?
 ",lake,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," swim
Context: a plate with some fish, rice, and sliced up veggies on it 
 Question: What kind of fish is on that plate?
 ",unknown,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," cowboy
Context: a cat sitting on a bath mat in a bathroom
 Question: Does that cat seem content or agitated?
 ",relish,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," roast beef
Context: A kitchen countertop with a sliced lemon and a laptop.
 Question: What are they cooking?
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," race
Context: Vintage beige BMW motorcycle on display at a function.
 Question: What candy resembles the man's tie?
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," slope
Context: A small airplane sitting on top of a green field.
 Question: What kind of plane is this?
 ",passenger,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," 3:52
Context: A PICTURE OF FOOD SITTING ON AT TRAY 
 Question: What method of cooking is used to prepare the filling in this sandwhich?
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," trail
Context: A cat and a sheep standing on the grass facing each other.
 Question: What breed of sheep is that?
 ",1939,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," fruit stripe
Context: a man snow boarding in the snow down the mountai
 Question: What do the goggles protect this person from?
 ",cutback,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," cast iron
Context: A man in black shirt playing a game with a Nintendo Wii controller.
 Question: Name an appliance you see in this picture?
 ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," wright
Context: A body of water filled with rusted run down boats.
 Question: What does a person that shoves others out of the way have in common with these vehicles?
 ",battery,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," easter
Context: an elephant in some bushes wit ha car on the road
 Question: What is that animal poached for?
 ",ring,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," keep food cold
Context: a close up of a bird near a laying giraffe
 Question: What type of features does the background animal have?
 ",100,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," 32
Context: an  image of a kitchen setting with all white appliances
 Question: What company produces the most of the cooking appliance in this photo?
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
